xsd_id,seqno,node_id,parent_id,order_output,node_type,fieldname,datatype,basetype,minoccurs,maxoccurs,prefix
GET_WORKERS_35.2,1,1,0,2,field,Get_Workers_Response,Get_Workers_ResponseRootType,,,,wd
GET_WORKERS_35.2,2,2,1,2,structure,Response_Data,Workers_Response_DataType,,0,,wd
GET_WORKERS_35.2,3,3,2,2,structure,Worker,WorkerType,,0,unbounded,wd
GET_WORKERS_35.2,4,4,3,2,structure,Worker_Reference,WorkerObjectType,,0,,wd
GET_WORKERS_35.2,5,5,4,2,field,ID,WorkerObjectIDType,string,0,unbounded,wd
GET_WORKERS_35.2,6,6,5,1,attribute,@type,WorkerReferenceEnumeration,,,,wd
GET_WORKERS_35.2,7,7,4,1,attribute,@Descriptor,string,,,,xsd
GET_WORKERS_35.2,8,8,3,2,field,Worker_Descriptor,string,string,0,1,xsd
GET_WORKERS_35.2,9,9,3,2,structure,Universal_Identifier_Reference,Universal_IdentifierObjectType,,0,,wd
GET_WORKERS_35.2,10,10,9,2,field,ID,Universal_IdentifierObjectIDType,string,0,unbounded,wd
GET_WORKERS_35.2,11,11,10,1,attribute,@type,Universal_IdentifierReferenceEnumeration,,,,wd
GET_WORKERS_35.2,12,12,9,1,attribute,@Descriptor,string,,,,xsd
GET_WORKERS_35.2,13,13,3,2,structure,Worker_Data,Worker_DataType,,0,,wd
GET_WORKERS_35.2,14,14,13,2,field,Worker_ID,string,string,0,1,xsd
GET_WORKERS_35.2,15,15,13,2,field,User_ID,string,string,0,1,xsd
GET_WORKERS_35.2,16,16,13,2,field,Universal_ID,string,string,0,1,xsd
GET_WORKERS_35.2,17,17,13,2,structure,Personal_Data,Personal_Information_DataType,,0,,wd
GET_WORKERS_35.2,18,18,17,2,field,Universal_ID,string,string,0,1,xsd
GET_WORKERS_35.2,19,19,17,2,structure,Name_Data,Person_Name_DataType,,0,,wd
GET_WORKERS_35.2,20,20,19,2,structure,Legal_Name_Data,Legal_Name_DataType,,0,,wd
GET_WORKERS_35.2,21,21,20,2,structure,Name_Detail_Data,Person_Name_Detail_DataType,,,,wd
GET_WORKERS_35.2,22,22,21,2,structure,Country_Reference,CountryObjectType,,,,wd
GET_WORKERS_35.2,23,23,22,2,field,ID,CountryObjectIDType,string,0,unbounded,wd
GET_WORKERS_35.2,24,24,23,1,attribute,@type,CountryReferenceEnumeration,,,,wd
GET_WORKERS_35.2,25,25,22,1,attribute,@Descriptor,string,,,,xsd
GET_WORKERS_35.2,26,26,21,2,structure,Prefix_Data,Person_Name_Prefix_DataType,,0,,wd
GET_WORKERS_35.2,27,27,26,2,structure,Title_Reference,Country_Predefined_Person_Name_Component_ValueObje,,0,,wd
GET_WORKERS_35.2,28,28,27,2,field,ID,Country_Predefined_Person_Name_Component_ValueObje,string,0,unbounded,wd
GET_WORKERS_35.2,29,29,28,1,attribute,@type,Country_Predefined_Person_Name_Component_ValueRefe,,,,wd
GET_WORKERS_35.2,30,30,27,1,attribute,@Descriptor,string,,,,xsd
GET_WORKERS_35.2,31,31,26,2,field,Title_Descriptor,string,string,0,1,xsd
GET_WORKERS_35.2,32,32,26,2,structure,Salutation_Reference,Country_Predefined_Person_Name_Component_ValueObje,,0,,wd
GET_WORKERS_35.2,33,33,32,2,field,ID,Country_Predefined_Person_Name_Component_ValueObje,string,0,unbounded,wd
GET_WORKERS_35.2,34,34,33,1,attribute,@type,Country_Predefined_Person_Name_Component_ValueRefe,,,,wd
GET_WORKERS_35.2,35,35,32,1,attribute,@Descriptor,string,,,,xsd
GET_WORKERS_35.2,36,36,21,2,field,First_Name,string,string,0,1,xsd
GET_WORKERS_35.2,37,37,21,2,field,Middle_Name,string,string,0,1,xsd
GET_WORKERS_35.2,38,38,21,2,field,Last_Name,string,string,0,1,xsd
GET_WORKERS_35.2,39,39,21,2,field,Secondary_Last_Name,string,string,0,1,xsd
GET_WORKERS_35.2,40,40,21,2,field,Tertiary_Last_Name,string,string,0,1,xsd
