code,text
cs-cz,Czech (Czech Republic)
zh-hans,Chinese (Simplified)
zh-hant,Chinese (Traditional)
da-dk,Danish (Denmark)
de-de,German (Germany)
en-us,English (United States)
en-gb,English (United Kingdom)
es-es,Spanish (Spain)
fi-fi,Finnish (Finland)
fr-fr,French (France)
fr-ca,French (Canada)
hu-hu,Hungarian (Hungary)
it-it,Italian (Italy)
ja-jp,Japanese (Japan)
nb-no,Norwegian (Bokm?l) (Norway)
nl-nl,Dutch (Netherlands)
pl-pl,Polish (Poland)
pt-pt,Portuguese (Portugal)
pt-br,Portuguese (Brazil)
sv-se,Swedish (Sweden)
tr-tr,Turkish (Turkey)
